client_id,total_spend,avg_spend,transaction_count,spending_volatility,engagement_score,spending_tier,volatility_level,wellness_score,wellness_category,high_value_customer,digital_transaction_ratio,digital_persona,last_transaction_date,days_since_last_transaction,churn_risk,current_age,gender,yearly_income,total_debt,credit_score,num_credit_cards
0,10182.75,50.16133004926108,203,93.46721468776921,141.86453201970443,High Spender,Moderate,77.55495607722449,Moderate Wellness,0,0.11330049261083744,Traditional User,2019-10-25 14:09:00,6,Active,33,Male,59613.0,36199.0,763,4
1,5741.3,39.59517241379311,145,66.53811828467876,102.83806896551724,Moderate Spender,Moderate,56.57092806720218,Moderate Wellness,0,0.31724137931034485,Traditional User,2019-10-29 11:53:00,2,Active,43,Female,45360.0,14587.0,704,3
2,4631.68,28.948,160,43.631099603134196,107.5792,Moderate Spender,Stable,63.95818007937316,Moderate Wellness,0,0.09375,Traditional User,2019-10-25 15:47:00,6,Active,48,Male,27447.0,80850.0,673,5
3,4706.81,48.02867346938776,98,20.80268160934309,78.0114693877551,Moderate Spender,Stable,49.44806571894771,Low Wellness,0,0.04081632653061224,Traditional User,2019-10-12 19:18:00,19,Active,49,Male,27943.0,18693.0,681,4
4,7959.88,41.030309278350515,194,66.5511518794691,132.8121237113402,High Spender,Moderate,76.59886240761134,Moderate Wellness,0,0.010309278350515464,Traditional User,2019-10-23 08:50:00,8,Active,54,Female,76431.0,115362.0,716,5
5,3931.92,59.57454545454546,66,106.43571672331426,63.429818181818185,Moderate Spender,Moderate,22.985220291700784,Low Wellness,0,0.10606060606060606,Traditional User,2019-09-04 13:45:00,57,High Risk,65,Male,20614.0,14042.0,711,2
11,13318.24,81.70699386503067,163,190.7478776418181,130.48279754601225,High Spender,Moderate,51.562522631145576,Moderate Wellness,0,0.03067484662576687,Traditional User,2019-10-20 13:02:00,11,Active,39,Female,67643.0,0.0,714,6
13,3053.4,29.93529411764706,102,70.03064354310301,73.17411764705882,Moderate Spender,Moderate,35.77445952667352,Low Wellness,0,0.09803921568627451,Traditional User,2019-10-12 11:46:00,19,Active,52,Female,32378.0,65919.0,588,4
14,3833.06,38.717777777777776,99,82.49462617693689,74.88711111111111,Moderate Spender,Moderate,34.71640809794596,Low Wellness,0,0.10101010101010101,Traditional User,2019-09-26 19:01:00,35,High Risk,79,Female,32232.0,21134.0,652,5
16,8305.26,68.07590163934427,122,104.11377584284757,100.43036065573772,High Spender,Moderate,48.400015323233774,Low Wellness,0,0.1557377049180328,Traditional User,2019-10-15 14:25:00,16,Active,75,Male,22158.0,19101.0,681,5
17,11082.54,45.0509756097561,246,53.6556975754636,165.62039024390242,High Spender,Moderate,101.18415316783411,Healthy,0,0.04065040650406504,Traditional User,2019-10-23 05:04:00,8,Active,76,Male,21867.0,21103.0,759,2
19,712.52,13.44377358490566,53,9.32421150026084,37.177509433962264,Low Spender,Stable,23.368289775419534,Low Wellness,0,0.018867924528301886,Traditional User,2019-10-13 13:53:00,18,Active,82,Female,34903.0,1336.0,630,1
20,3877.9,22.946153846153848,169,86.202934218373,110.57846153846153,Moderate Spender,Moderate,57.24325931017155,Moderate Wellness,0,0.023668639053254437,Traditional User,2019-10-19 04:25:00,12,Active,86,Female,23371.0,0.0,757,8
21,5264.93,36.56201388888889,144,64.367036709771,101.02480555555555,Moderate Spender,Moderate,55.695196824712475,Moderate Wellness,0,0.06944444444444445,Traditional User,2019-10-11 22:16:00,19,Active,48,Male,43084.0,0.0,850,3
22,1878.2,39.12916666666667,48,44.675577974726714,44.45166666666667,Low Spender,Stable,22.00363440505466,Low Wellness,0,0.3125,Traditional User,2019-10-17 16:50:00,14,Active,56,Male,53966.0,135478.0,747,1
24,6688.97,49.54792592592593,135,69.67456584376296,100.81917037037037,Moderate Spender,Moderate,54.92946460902518,Moderate Wellness,0,0.05185185185185185,Traditional User,2019-10-19 14:06:00,12,Active,48,Female,38554.0,47186.0,708,1
27,4613.15,31.16993243243243,148,67.67248884335424,101.26797297297297,Moderate Spender,Moderate,55.016481961058886,Moderate Wellness,0,0.05405405405405406,Traditional User,2019-10-20 04:34:00,11,Active,78,Female,23821.0,22427.0,613,8
28,5609.83,58.43572916666667,96,93.87810497206965,80.97429166666666,Moderate Spender,Moderate,37.15509775558607,Low Wellness,0,0.1875,Traditional User,2019-08-29 20:06:00,63,High Risk,39,Female,54273.0,110237.0,789,4
